text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, yes, yes, southeast, no, um, they kind of refer to it as hillcrest it's not like a neighborhood",0.08050597,0.999255213875429,0.2,0.09,0.000700244156178,0.000490941631142,0.0004684662562794,False
"it's more for like older, retired people",0.112788886,0.9997036234654154,0.3333333333333333,0.0,0.0031052303966134,0.0010103413369506,0.0013012603158131,False
it's off of alabama avenue and it's all houses,0.012703137,0.0685064345360446,0.5,0.0,0.0021351398900151,0.0004114150942768,0.0007387583027593,False
it's right before the borderline of maryland,0.031357653,0.0701495002639789,0.3571428571428571,0.0,0.0008801246876828,0.0004419178003445,0.0007135355263017,False
"mmhm, now i do",0.036851373,0.920220914967772,0.5,0.0,0.0041764685884118,0.0004849562828894,0.0005459196399897,False
"i live in northeast now, mission san josé high school, mission san josé high school, mmhm, a membership coordinator for google premier, mmhm, we're premier",0.028610796,0.0044384651200524,0.4239393939393939,0.0,0.0006645423127338,0.0003763945423997,0.0003053026448469,False
i,0.018187003,0.1365788848886534,0.5,0.0,0.0033499409910291,0.0007452693535014,0.0005561164580285,False
it has,0.029469188,0.026560988443163,0.5,0.0,0.0008403210667893,0.0003490969538688,0.0007533991592936,False
"i know that's what everybody says, but i don't know dc",0.03444787,0.8409923797491851,0.5,0.0,0.0006523979827761,0.0007126466371119,0.0008462664554826,False
dc,0.030155903,0.0232255602467269,0.5,0.0,0.001081762718968,0.0017928828019648,0.0017433711327612,False
i have no idea,0.019019997,0.0124009914903811,0.5,0.423,0.0009609807748347,0.0008031991310417,0.0004536588094197,False
"so uh, but no, my father was killed a month before i was born, so i never met him",0.19042583,0.995414270553984,0.6,0.258,0.002331456169486,0.0334535129368305,0.0342928320169448,False
never met that side of the family,0.023803791,0.9651295899244376,0.5,0.0,0.0010643607238307,0.0003922747273463,0.0004057276819366,False
"nothing at all about him, not nothing",0.07690986,0.9990550166527012,0.5,0.0,0.0015608200337737,0.000579681363888,0.0024372669868171,False
"my mom, um, she's a patient and registration clerk at google, but i was raised by my grandparents, my mom in the household, but she was young when she had me",0.018187003,0.0084315905196943,0.45,0.0,0.0009135581203736,0.0010203549172729,0.0008172550005838,False
"she had me at fourteen, so my grandparents raised me, so my grandfather would have been my father figure",0.0753116,0.0050925261670615,0.5,0.0,0.0007955385372042,0.0010684701846912,0.0009753016056492,False
i don't know if you want to use him,0.030327583,0.10131767743563,0.5,0.0,0.0074532954022288,0.0308974348008632,0.0008214191184379,False
mkay,,0.8445035356254191,0.5,0.0,0.0081377262249588,0.0006506927893497,0.0010660706320777,False
"okay, so my mom had me at fourteen and so, for insurance purposes and legal purposes, my grandparents had to adopt me, because if they didn't, i wouldn't have been able to get insurance and stuff like that",0.019714156,0.9676833637568336,0.3,0.0,0.0027913607191294,0.0006207473343238,0.0004313643730711,False
"and so, although my mom was in the household, it was more like we was raised a as sisters, opposed to mother and daughter, and then eventually, once she got older to move out on her own",0.044405237,0.9379948339161812,0.2888888888888888,0.0,0.0053517674095928,0.0012877959525212,0.0005338312475942,False
i just naturally stayed with my grandparents,0.045778666,0.075868607674662,0.45,0.0,0.0007816259749233,0.0005994176026433,0.0003712227626238,False
"when my mom left, she was maybe in her early twenties, like twenty two",0.051737156,0.0915920325737601,0.475,0.0,0.0050367442891001,0.0009595530573278,0.0019193415064364,False
"mmhm, yeah, grandparents",0.0224908,0.2106821685344091,0.5,0.0,0.000718050985597,0.0004397473239805,0.000786866643466,False
i think it,0.02124131,0.0318431014099523,0.5,0.0,0.0007021958590485,0.0004290434007998,0.0004444665682967,False
"it may have been both because i'm not gonna say that i was spoiled, but i was spoiled",0.20522906,0.9756769762821876,0.5,0.0,0.0011038198135793,0.0014518953394144,0.0112850787118077,False
"so even when my mom tried to do that discipline thing, my grandparents kind of step in and was like no, and she didn't like that like at the end of the day she's still my child",0.02655065,0.9955383171284952,0.2,0.104,0.0032347394153475,0.002111857291311,0.0017078926321119,False
"and so when she tried to discipline me, they kind of disciplined her uhhuh",0.10634898,0.9975823137839468,0.2,0.0,0.0064357300288975,0.0114786950871348,0.0033444976434111,False
"mmhm, so and then after because she was still young, i think it may have been like a type of envy, type of thing",0.09548495,0.9991404961278813,0.45,0.079,0.0011826127301901,0.0014424469554796,0.001230473164469,False
"i believe so cause we had like uh, a rocky patch in our relationship and it wasn't until i really got older, probably like high school college that we got like real close",0.04818217,0.0068883700643724,0.4091666666666667,0.0,0.0006639080238528,0.0003562048950698,0.0006112042465247,False
"okay, so again, my grandparents",0.021518974,0.9814517288045028,0.25,0.0,0.0043936669826507,0.0006473482353612,0.0005570407956838,False
"i don't want to say they kept me sheltered in, but i didn't live in a neighborhood, so i lived in a five bedroom four bathroom house",0.034791227,0.0046839652724431,0.4318181818181818,0.041,0.0011822640663012,0.0006143381469883,0.0002465448342263,False
i'm talking about,0.022773718,0.0302704042457905,0.5,0.0,0.000699664466083,0.0004198767710477,0.0009858495322987,False
you,0.053335425,0.0071625720070694,0.5,0.0,0.3588186204433441,0.0098251458257436,0.0210788920521736,False
go outside,0.1550967,0.8185000414581416,0.5,0.0,0.1465790122747421,0.0015965071506798,0.000667939952109,False
you could hear a pin drop,0.12180476,0.9991393039455216,0.5,0.296,0.1807344406843185,0.0033463926520198,0.0085396422073245,False
the birds chirping all older people,0.29756662,0.0052117145984577,0.4166666666666667,0.0,0.0039856815710663,0.0011708171805366,0.0678168162703514,False
"really, no kids on my block",0.15918289,0.995241284893613,0.55,0.574,0.0241730827838182,0.0113751282915472,0.0031705058645457,False
and as i got older and wanted to play with kids and i went to school,0.14328592,0.0063722743209224,0.4166666666666667,0.0,0.0060718907043337,0.0007138160290196,0.0003806826716754,False
"i'm like well, dad, talking to my grandfather",0.089041,0.0020453378606061,0.5,0.0,0.0009078887524083,0.0005760478670708,0.0007373052067123,False
"i want to hang out where the ice cream trucks come and everybody's outside playing and i want to hang in the neighborhood and he was just over protective, but then my best friend who i met lived in a neighborhood woodland, and i used to have to beg to go over there, but he made sure he dropped me off and picked me up, so i didn't live in a neighborhood essentially, but as i got older, i started to hang with my best friend in her neighborhood very quiet, very safe",0.18055865,0.0004462338571802,0.3081649831649832,0.0,0.0013198445085436,0.0025988842826336,0.014656270854175,False
"uh, yes, mm, yes, so it was interesting",0.037881445,0.0101416568962354,0.25,0.0,0.0006422553560696,0.0004305827314965,0.0005800309008918,False
"um, i'm not gonna say i was scared almost because i knew my best friend kind of knew everybody in the neighborhood and i had went to school with a few of them, so i had knew a lot of people, but it was very different, but it also made me appreciate how i was brought up and where i came from and where i lived, but it was fun going over there and being like the ice cream truck",0.0813051,0.0002230573194721,0.3299999999999999,0.021,0.0008441016543656,0.0005863045225851,0.000452707929071,False
"i could go to the ice cream truck and get whatever i wanted to, or the go go bands would come around their neighborhood and play and that was fun for me, but my grandfather didn't see the fun in it",0.08050597,0.9692180004991668,0.35,0.078,0.0017296358710154,0.0006424246239475,0.0019972154404968,False
and so it wasn't like i could go over there all the time,0.036508016,0.9410882490936284,0.5,0.165,0.0009067156352102,0.0007663778378628,0.0004781700554303,False
"it was one of those things where it's you can go, but it won't be all the time",0.023632111,0.9699204343454146,0.5,0.0,0.0007084065000526,0.0005774565506726,0.0010133041068911,False
so i went to mission san josé high school,0.02655065,0.9457852687629088,0.42,0.0,0.0015744705451652,0.000439494207967,0.0003050707455258,False
"everything was on capitol hill, so i did mission san josé high school",0.03358948,0.0220381168120543,0.42,0.0,0.0008101453422568,0.0004165202844887,0.000336625118507,False
i did mission san josé high school,0.031529333,0.7855096731590335,0.42,0.0,0.0011657048016786,0.0004195378860458,0.0002224750933237,False
"i did mission san josé high school, but then i got put out of mission san josé high school, and that's when i had to go to my neighborhood school, which was mission san josé high school, and that's how i met my best friend",0.053335425,0.0043869926466788,0.315,0.0,0.0008553274674341,0.0004540161171462,0.0003497790312394,False
"so so um, one of the teachers, she was a little off the chain and so we had got into it at one point and she told me like i couldn't get on the computer or something, and i was just like well, i don't care",0.09655894,0.9995352575116876,0.59375,0.051,0.0095001235604286,0.0020238698925822,0.0010015453444793,False
i got five computers at home,0.018325835,0.0043769187057406,0.5,0.0,0.0013438642490655,0.0004870321718044,0.0005048789898864,False
i'm not pressed to get on your computer and it ended up to a back and forth thing and i got suspended from school,0.08689302,0.9997709221596122,0.5,0.119,0.0129300542175769,0.0005604671314358,0.0013138276990503,False
"well, they actually put me out mission san josé high school, so i went to mission san josé high school",0.0358213,0.982605791133108,0.4466666666666666,0.0,0.0011362257646396,0.0005297061288729,0.0003996469895355,False
i l,0.09333697,0.1215437366702835,0.5,0.0,0.0042014359496533,0.0186560358852148,0.0225432775914669,False
"when i left mission san josé high school because i was so academically excel in mission san josé high school, um",0.018325835,0.0070956905766985,0.4466666666666666,0.0,0.0009883765596896,0.0004163968551438,0.0009306587744504,False
"mission san josé high school had reopened, and so i had to apply and all that stuff",0.030155903,0.9208582556571884,0.42,0.0,0.0009914751863107,0.0003729824384208,0.0005759092746302,False
"even though i was in mission san josé high school, i wasn't a product of that school, so i was always the one doing all my homework, getting good grades as opposed to everybody else around me like not doing anything",0.048525527,0.0001963226300591,0.285,0.0,0.0011070600012317,0.0004803794436156,0.0003932671097572,False
so mission san josé high school is in southeast and there's the woodland kids,0.031185975,0.1078577514236594,0.42,0.0,0.0007806114736013,0.0004306498740334,0.0004397129523567,False
there's juna vista terrace kids,0.03187269,0.0007888074581974,0.5,0.0,0.0010599383385851,0.0007707976037636,0.0003909525694325,False
it's the thirtieth street kids,0.048868883,0.0024780702525644,0.5,0.0,0.0084940856322646,0.0018084266921505,0.0007619290263392,False
"it's just that naylor gardens that whole area, so it's like a neighborhood school",0.034962907,0.8425944940130689,0.4,0.0,0.0009038230637088,0.000510215817485,0.0005342071526683,False
it's not like a school like,0.054534122,0.9952788982470568,0.5,0.245,0.0064853159710764,0.0007333848043344,0.0019442192278802,False
"oh, i'm sending my child there",0.05413456,0.9111245039552736,0.5,0.0,0.0130763780325651,0.0046138404868543,0.0012167558306828,False
"no, it's a school that you don't want to go to",0.038053125,0.9689683575130766,0.5,0.109,0.0055236173793673,0.0552179776132106,0.0015857628313824,False
i'm talking,0.02517722,0.0122808195085383,0.5,0.0,0.0007437652675434,0.0005560287390835,0.0006280733505263,False
my grandfather and grandmother was in tears,0.059728492,0.9904919582233072,0.5,0.241,0.0160885192453861,0.0020310247782617,0.042503248900175,False
"yeah, bad",0.13476147,0.9997891327451542,0.8499999999999999,0.614,0.0180843845009803,0.0371471941471099,0.0157971959561109,False
"yeah, it was bad",0.16035037,0.9994162181030865,0.8499999999999999,0.455,0.001892511267215,0.0046743093989789,0.003280262928456,False
"mmhm, gangs",0.1019289,0.999042498737926,0.5,0.0,0.071460023522377,0.0005988636985421,0.0122886374592781,False
"mmhm, um, not necessarily gang activities but neighborhood beefs",0.13082063,0.9940657036734178,0.5,0.0,0.0009041434386745,0.0007179476087912,0.0020891679450869,False
"oh, like if woodland was beefing with another area, they would fight like after school and stuff like that",0.0495556,0.9830953310144988,0.5,0.104,0.0350173227488994,0.0007324335165321,0.0027020510751754,False
"no, no guns and stuff, no girls and boys different groups",0.14283726,0.9997485687403704,0.5,0.328,0.0266214441508054,0.0066780345514416,0.0062374272383749,False
"mmhm, no, if they",0.023288755,0.9992603998686932,0.5,0.0,0.0013833849225193,0.0006259743240661,0.0008208655635826,False
"if it was a neighborhood it would be like if the girls and boys from your neighborhood they together like they, walking together like girls, boys",0.15071863,0.808877222324783,0.5,0.0,0.0049940152093768,0.0082480832934379,0.0027933537494391,False
it's the whole neighborhood,0.024318827,0.0010189582627089,0.4,0.0,0.000950961431954,0.0004014188307337,0.000472610903671,False
"not not by sex but no, but when i was growing up, the girl gangs were more popular",0.38953075,0.9875600837555796,0.2249999999999999,0.0,0.0064906985498964,0.1386805921792984,0.3223470151424408,False
so then we stopped talking about neighborhoods and it become girl gangs,0.22985287,0.9997754226480194,0.5,0.164,0.0063011096790432,0.0306316632777452,0.007512173615396,False
like most wanted,0.03444787,0.0017018105137012,0.25,0.0,0.0017686438513919,0.0005674479180015,0.0004820408066734,False
shut 'em down,0.38953075,0.9901855077477846,0.5777777777777778,0.0,0.8490972518920898,0.1936333328485489,0.3201055526733398,False
that type of stuff,0.037023053,0.0520663590160609,0.5,0.0,0.001298097660765,0.0004405048384796,0.0013890311820432,False
"no, that was just all over",0.04818217,0.9999237599381068,0.5,0.0,0.0013272807700559,0.0006396606913767,0.0004865142982453,False
like you could be from different places different,0.07970683,0.0042686983520522,0.5,0.0,0.001220479607582,0.0009336250950582,0.0022239128593355,False
"yep, and it's probably ages",0.024318827,0.0048964419734743,0.5,0.0,0.0010342721361666,0.0004698716511484,0.0005644398625008,False
"mmhm, but like most when i was coming up, it was like most wanted shut 'em down",0.1668969,0.9980759666944784,0.3592592592592593,0.0,0.3138498067855835,0.0195259060710668,0.0288248378783464,False
"those type of things, not necessarily in the gang, but um, i knew everything that was going on cause i had friends in all the different types of gangs",0.09333697,0.0035064169513548,0.5,0.0,0.0006861864821985,0.0007966069388203,0.0005568224005401,False
"i necessarily wasn't in it, but my grandfather and the principal at my school thought that i was in a gang",0.07451247,0.9993367889533812,0.5,0.0,0.0008412723545916,0.0010029991390183,0.0027585129719227,False
it was a hard time for my grandpa,0.062125895,0.9961729754076026,0.6458333333333334,0.167,0.0027095244731754,0.0009026904590427,0.0033249913249164,False
"they're like, oh, my gosh, i shouldn't have sent you here because i became into all the stuff that they was doing, not necessarily like the fighting and stuff, but the fashion and stuff behind it",0.11472086,0.971643286877762,0.6,0.087,0.0030706995166838,0.0007804887136444,0.0113316569477319,False
"so they thought it was gang affiliated, but it really wasn't so",0.059328925,0.99906094775994,0.4,0.0,0.000691064808052,0.0004614100907929,0.0008943769498728,False
"this was a time when the girls was wearing rubber bands around their um, jeans, and like bandanas and stuff like that",0.17759849,0.9917176111026036,0.5,0.0,0.0038810831028968,0.0042926957830786,0.0116816749796271,False
"and so the principal, of course, cause it was me and i guess she felt like i was different from that",0.034104515,0.9860936994533308,0.5,0.0,0.0007498954073525,0.0004107692511752,0.0005330616841092,False
"i mean, once that happened for me, she made it a point to contact my grandfather like mary, starting to go down the wrong path and you might wanna ch, but i really wasn't in a gang",0.22985287,0.9994834273836062,0.5768055555555556,0.053,0.001548352651298,0.0018032119842246,0.0009463671594858,False
