text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, yo, um",0.01999182,0.9722486257247634,0.5,0.0,0.0008963797008618,0.0005837909993715,0.0009452839731238,False
this is mary and i'm interviewing mary,0.02193547,0.026651715664726,0.5,0.0,0.0015352220507338,0.0004562330432236,0.0005473141209222,False
mary,0.010967735,0.0895362258803333,0.5,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"what's your name? full name mary? mary? um, how old are you? bruh, twentythree, okay, um, what's your um? nationality or race? do you? what do you consider yourself? human? human? i mean, yeah, human race",0.13431281,0.8946603167128856,0.4544642857142857,0.0,0.3449509441852569,0.0518802590668201,0.057893831282854,False
"no, but i, yeah",0.022773718,0.8067394248980376,0.5,0.0,0.0008102132123894,0.0005286927334964,0.00047613834613,False
d i be putting that on job applications and everything? bruh,0.03461955,0.1128141312300601,0.5,0.0,0.0008564566378481,0.0006674581672996,0.0072741834446787,False
"like okay, oh god, so would you? you would say other? yeah, other than black, other than um, hispanic",0.41665444,0.9962086841975856,0.5041666666666667,0.0,0.1184371411800384,0.1939807385206222,0.3853353857994079,False
"yeah, other other? okay, let's see um",0.038911518,0.2041199497527124,0.4583333333333333,0.0,0.0006638846243731,0.0005201395833864,0.0009634473244659,False
"how long you been living in atlanta? well, i, i never really lived in atlanta",0.05493369,0.992316575793384,0.5375,0.0,0.0007282315054908,0.000493046361953,0.0008355610189028,False
"well, i been living in georgia my whole life",0.038911518,0.0107582542196843,0.4,0.0,0.0007051474531181,0.0003866415063384,0.0006492905667982,False
though,0.019852988,0.1459943285534831,0.5,0.0,0.0010571953607723,0.0004524219257291,0.0004299459978938,False
"okay, what part of georgia stone mountain? okay, yeah, and conyers",0.054534122,0.1651191733933757,0.25,0.0,0.0014165038010105,0.0004541277594398,0.0007181399269029,False
"okay, how do you? um? how was growing up in stone mountain? well, it's tricky",0.09602194,0.0385996325331815,0.25,0.085,0.0009274004842154,0.0004838508903048,0.0011826048139482,False
it was good,0.025005542,0.0491994558033978,0.15,0.0,0.0005956928944215,0.0003395354142412,0.0006108213565312,False
"it was a little good, was a little bad",0.1423886,0.975324200804374,0.546875,0.25,0.0009285839623771,0.0011129593476653,0.0022378519643098,False
you know what'd you used to do for fun? w,0.06372416,0.0666553217867887,0.35,0.0,0.001439735176973,0.0045653898268938,0.0055175460875034,False
for fun,0.03049926,0.0092869862207393,0.35,0.0,0.0009448710479773,0.0004587991861626,0.000440271833213,False
shit had shit i had to like,0.9107452,0.9526991227586536,0.6,0.526,0.9824495315551758,0.9804714918136596,0.9689101576805116,True
like make fun,0.08330294,0.0025769765497756,0.35,0.0,0.0010261905845254,0.0004709166532848,0.0034026543144136,False
you know what i'm saying like it wasn't really,0.027580723,0.999883382184863,0.4,0.0,0.0008706825901754,0.0004689170746132,0.0006269594305194,False
you know what i'm saying,0.043375164,0.0893057022922717,0.5,0.0,0.0014801901997998,0.0004246987227816,0.0008275076979771,False
like too much to do in the house,0.033761155,0.9977368752803312,0.4,0.0,0.0018963838228955,0.000427851191489,0.0005187693168409,False
"you know what i'm saying, so we go outside, maybe hoop play football",0.055333257,0.1881838705014744,0.5,0.0,0.0035003966186195,0.0006204320816323,0.0029906870331615,False
sometime we play like we had a tennis ball or some shit,0.77806646,0.9985700682927992,0.6,0.206,0.9382321834564208,0.9608230590820312,0.946271538734436,True
we'd play baseball,0.05493369,0.0069617527541384,0.5,0.0,0.0021743059623986,0.0013248880859464,0.0027592028491199,False
"mmhm, uh, water gun fights with the b with the you know, uh, all kind",0.17759849,0.0735661715947851,0.2,0.249,0.0590382851660251,0.0008032577461563,0.0072732544504106,False
"i don't know all kind of stuff, man, just random",0.065721996,0.9995005371929768,0.475,0.0,0.0008387466659769,0.0021347294095903,0.0046545485965907,False
"like random, fun, shit, climbing trees",0.77806646,0.0004088925181907,0.5666666666666667,0.29,0.9432507157325744,0.9445101022720336,0.9224468469619752,True
we used to race bikes,0.05613239,0.0467838904692578,0.5,0.0,0.0012335758656263,0.0007647907477803,0.0004504171083681,False
"yeah, we was big on that shit",0.81344116,0.1026164948791576,0.55,0.333,0.9660882353782654,0.9789288640022278,0.9654353857040404,True
"it was like mmhm, niggas in other neighborhoods would come to our street tryna race us",0.6556601,0.9987142237673248,0.5625,0.127,0.9205203652381896,0.6789247393608093,0.8171173930168152,False
we wasn't even doing that,0.026894007,0.9999724027352884,0.5,0.0,0.0007980414666235,0.0003888322971761,0.0004398273886181,False
"yeah, man it was it was",0.031014297,0.0001976214495716,0.5,0.0,0.0011605268809944,0.002458527451381,0.0036637014709413,False
it was cool,0.02809576,0.0521080167669774,0.325,0.0,0.0006690194713883,0.0003866504994221,0.0006643149536103,False
it was co,0.029469188,0.9668659669995128,0.5,0.0,0.0015785159775987,0.0015773434424772,0.0067719281651079,False
"like i said, man, it was good and bad",0.07011723,0.963618102732755,0.5,0.235,0.0017724488861858,0.0037839079741388,0.0030047027394175,False
used to beat niggas up,0.8202001,0.027216178076864,0.5,0.375,0.9581031799316406,0.9541054964065552,0.9835485816001892,False
sometimes you know that happen,0.0253489,0.8150304359682363,0.5,0.0,0.0010842805495485,0.0003886112535838,0.0004738626885227,False
"yeah, time to time real real",0.029469188,3.4749903513882826e-05,0.35,0.0,0.0008068855386227,0.0005957135581411,0.000429417588748,False
so your kids playing outside now shit sometime it depend if they not hooping,0.68288773,0.9979597097816806,0.55,0.204,0.9255470633506776,0.9457620978355408,0.819149374961853,True
"they, not really, you know",0.026035614,0.9981287504787052,0.55,0.0,0.001019857940264,0.000960626930464,0.0006530371028929,False
"mmhm, they're not doing too much mkay",0.049212243,0.9908833955960606,0.4,0.0,0.0498135387897491,0.0007531679584644,0.0006116392905823,False
i was more adventurous back then,0.038224805,0.8809965414011125,0.3333333333333333,0.0,0.0009578846511431,0.0004787260259035,0.0006256334600038,False
"oh yeah, it was a lot to get into too much crazy shit going on in the world now though, yeah, man, it's the worst shit to get into",0.8086813,0.9999639983846956,0.75,0.333,0.9503514766693116,0.8939279913902283,0.9535894393920898,True
i don't know what kind of number this is,0.029469188,0.9998304824603884,0.2,0.0,0.0010078863706439,0.0005877012154087,0.0005356403416953,False
hello,0.019575324,0.0997531147506783,0.5,0.0,0.0009314664639532,0.0005519210244528,0.0004184034187346,False
"hello, i don't wanna say",0.038911518,0.9574097910684404,0.5,0.0,0.0011605174513533,0.0014172608498483,0.0007030706619843,False
sounded like a goddamn assassin might be in some shit,0.95473075,0.9998820112624258,0.6,0.414,0.9780004620552064,0.9894216656684875,0.9878891110420228,True
there will be some shit with it,0.81344116,0.9967614639663468,0.6,0.375,0.9717832803726196,0.960225224494934,0.962981641292572,True
"mmhm, then i'll wait for you to get whacked back here",0.37647265,0.9998966145666468,0.5,0.0,0.4365072548389435,0.6627771258354187,0.3879042863845825,False
bruh,,0.2329192452177904,0.5,0.0,0.0019200880778953,0.0021261405199766,0.1218174770474433,False
oh no,0.024318827,0.9968985562100552,0.5,0.688,0.0020685361232608,0.0008897111401893,0.0005432210746221,False
i'm the main character at the end of the story,0.0253489,0.052798425227357,0.4166666666666667,0.0,0.0006836909451521,0.0003555304429028,0.0002294983860338,False
i gotta invade,0.2885035,0.8842731652363872,0.5,0.0,0.1280869841575622,0.0522631667554378,0.0639170855283737,False
"yeah, man, but the plot always involve a female bruh",0.15568043,0.9918929905629872,0.5,0.0,0.0067212032154202,0.0042824009433388,0.1059260219335556,False
"if you ever peeped it, you said what? the plot of movies always involve a female",0.25447917,0.9971106319505396,0.5,0.0,0.0176272634416818,0.0109327174723148,0.0438982732594013,False
"you know somehow, some way, somehow, some way, man, mm, mm, mm, mm, mm, mm, mm, mm, hell, yeah, man, bruh",0.31671798,0.0111821076740363,0.5,0.178,0.0381285101175308,0.0067002759315073,0.0367475859820842,True
"have you noticed that all damn near all movies got happy endings? nah, that's not true",0.5535644,0.9993110816727042,0.3791666666666666,0.291,0.0938138216733932,0.416132390499115,0.554767906665802,True
have you ever seen menace to society? that shit was sad,0.7627802,0.9981733054579104,0.675,0.553,0.9714055061340332,0.9662480354309082,0.9507277011871338,True
odog went to jail,0.18746567,0.997986144742587,0.55,0.0,0.3111900091171264,0.0818201825022697,0.0114423483610153,False
"caine got merked, uh sharif got merked, but hold on",,0.110477334330729,0.5,0.0,0.0022786094341427,0.0027652173303067,0.0018101377645507,False
"what about um jada pinkett? she moved to atlanta, but her nigga was dead and her other nigga was locked up",0.6809553,0.162343234274253,0.58125,0.229,0.8595475554466248,0.9242479205131532,0.9405959248542786,True
she got a free life to start fresh in atlanta,0.05373499,0.7733655698790459,0.325,0.0,0.0009743496775627,0.0006600692868232,0.0003241952799726,False
she had the best chance out of everybody in that son of a bitch nigga,0.9390311,0.1890503530870342,0.0,0.173,0.9939613342285156,0.99636310338974,0.9945883750915528,True
that's probably the reason everybody started moving to atlanta,0.019297661,0.0343610979896614,0.5,0.0,0.0007182874251157,0.0004074688185937,0.000554853118956,False
"man, it's the best place to go get out of trouble",0.09279997,0.092280186743478,0.3,0.17,0.0021058295387774,0.0033991006202995,0.0117875980213284,False
"ah, hell, nah, nigga",0.8202001,0.9999473684994808,0.5,0.75,0.9556645154953004,0.9834967851638794,0.9619547128677368,True
we're on that crazy shit down here n you done came to find some more shit,0.9017833,0.2372454293892987,0.5655555555555556,0.432,0.9903677701950072,0.986697256565094,0.9889565110206604,True
we got a whole nother kind of trouble for your ass,0.86967754,0.999472105453738,0.3999999999999999,0.419,0.9889617562294006,0.9728821516036988,0.9702123999595642,True
"yeah, niggas got troubles down here",0.7740273,0.2394774997355013,0.5777777777777778,0.509,0.9446569085121156,0.7526706457138062,0.9164784550666808,False
"mmhm, everybody got 'em everybody got 'em like they, mother fucking license plates or some shit",0.8960455,0.9888176539046702,0.7,0.179,0.9968166947364808,0.9898987412452698,0.9777324199676514,True
you said what i said,0.03049926,0.0246145547258825,0.5,0.0,0.000866032554768,0.0004695219977293,0.0006677648634649,False
everybody got 'em like they license plates or some shit,0.8086813,0.0658986024041807,0.6,0.255,0.970322847366333,0.9561491012573242,0.951457977294922,True
"oh yeah, that's that",0.03444787,0.0013734556633252,0.5,0.0,0.001038346090354,0.0005055476212874,0.0009770068572834,False
definitely georgia for you,0.058929358,0.0141037222034299,0.5,0.0,0.001079035224393,0.0004468521801754,0.0016544871032238,False
"what other um states have you been to shit? i went to uh, mississippi before",0.7212062,0.8781041930854845,0.58125,0.205,0.905394732952118,0.9605704545974731,0.9016547203063964,True
"ooh, like recently that was the most recent",0.033074442,0.9120198604937408,0.4166666666666667,0.0,0.0012503392063081,0.0003872208180837,0.0003385009767953,False
"it was for uh, my cousin",0.028439116,0.9890147985116552,0.5,0.0,0.0006884587928652,0.0008101140265353,0.0010421611368656,False
he had a show,0.03461955,0.0088739809352373,0.5,0.0,0.0046910285018384,0.0004545561387203,0.0020208461210131,False
"i was uh, video taping that shit",0.9107452,0.999146958414856,0.6,0.375,0.9719126224517822,0.9813621640205384,0.9518616199493408,True
"oh, you was um camera man",0.13655609,0.000337187314199,0.5,0.0,0.0009982620831578,0.0029013375751674,0.0131559865549206,False
